date,prices,market_caps,total_volumes
2017-01-09,10.285955970375603,902556769.2719904,18147872.43406206
2017-01-10,10.523650713762722,923748369.397242,8483903.665315015
2017-01-11,9.661693873756436,848391822.1686144,15650725.63529802
2017-01-12,9.66715894243992,849172695.9853683,10113120.406065958
2017-01-13,9.650805118856487,848042631.0951145,7919565.412407908
2017-01-14,9.69526275179494,852254946.1784115,4879177.658292587
2017-01-15,9.785923385543578,860534322.7461399,4332221.110583241
2017-01-16,9.5212839167112,837562733.6341596,5886593.490664111
2017-01-17,10.258458296131916,902735897.6068892,14660002.940091308
2017-01-18,10.125537740945934,891354114.8712552,8053530.980182525
2017-01-19,10.385306173596472,914555495.2617246,6357101.908723087
2017-01-20,10.549960559535752,929384722.9448366,7935034.033635709
2017-01-21,10.872633993948424,958152131.942248,8840650.535766678
2017-01-22,10.745356049118469,947279384.7763176,5158451.375139222
2017-01-23,10.751024402450716,948113651.4735702,5620391.166760423
2017-01-24,10.39908724840238,917408215.3892528,5709572.008183221
2017-01-25,10.471671231503688,924140033.97176,5749423.917130453
2017-01-26,10.555255877288236,931851533.4501834,6557326.8506697165
2017-01-27,10.509979092454431,928178829.5799544,5497367.838993973
2017-01-28,10.554962953815345,932486646.1251798,5053699.38083557
2017-01-29,10.430442595335876,921810453.3952467,3291646.7339461427
2017-01-30,10.570411298387052,934513900.731524,5394044.15637189
2017-01-31,10.677298023363218,944300621.5689718,8686038.921618612
2017-02-01,10.700989418222472,946733901.535968,9511590.154111857
2017-02-02,10.81046108694813,956759156.4673628,6770261.660819854
2017-02-03,10.937685579154774,968360894.192527,8348606.141529283
2017-02-04,11.33331586102519,1003747585.8791432,10294011.746300206
2017-02-05,11.242238837962214,996031546.0667974,3675287.630848288
2017-02-06,11.294016130984236,1000976621.5619532,4068555.061902807
2017-02-07,11.433167440255266,1013517743.3509268,4749524.532223364
2017-02-08,11.33515301113578,1005343885.90633,6195998.767216384
2017-02-09,10.9149639498315,968413072.7002904,13014114.532155838
2017-02-10,11.275640644361795,1000774841.3196372,8465560.862563102
2017-02-11,11.399125371500643,1012095683.2413528,5365544.876506018
2017-02-12,11.354164564644952,1008457060.9062704,4159375.2547445847
2017-02-13,11.281947015245583,1002404862.0123965,4407682.629750895
2017-02-14,12.972145045966515,1152983307.7665763,31343305.12985216
2017-02-15,12.934716009243267,1150065646.2625835,12601119.248384409
2017-02-16,12.835968798993129,1141695360.3501627,10436344.691817228
2017-02-17,12.7034838481457,1130310857.329892,7412007.524208957
2017-02-18,12.816285332013342,1140747285.336553,5979769.378102808
2017-02-19,12.775445603327524,1137511955.6917048,5083526.063930682
2017-02-20,12.750223774537398,1135537849.161545,6982638.937362893
2017-02-21,12.73614094049859,1134283628.73708,12724890.253553009
2017-02-22,12.600296405431427,1122185283.3355997,6874100.081802634
2017-02-23,13.15516545737877,1171602048.167043,8909149.88275321
2017-02-24,13.071871231178674,1165941515.2567716,13610109.54373934
2017-02-25,13.546938608109643,1208749236.7164545,12468242.903672196
2017-02-26,14.547676188997867,1298504264.2843328,13782004.348183315
2017-02-27,15.358690360839049,1371373069.7338753,20501520.187154144
2017-02-28,15.702781231900772,1402597198.622161,43441932.36968612
2017-03-01,17.168029711638418,1534004366.1496954,26801192.633228768
2017-03-02,18.993581792674195,1697730102.3249254,63520413.50856188
2017-03-03,19.58574948053123,1751276476.8602574,63619640.04357912
2017-03-04,18.63867345258356,1667171877.3033454,17012295.23543211
2017-03-05,19.247364659986754,1722225376.4707189,16685230.67871547
2017-03-06,19.67070561400416,1760717955.0918417,19157704.333576992
2017-03-07,18.82733332066123,1685811625.6439984,22162502.616289888
2017-03-08,16.7497435780077,1500309874.2410994,25853719.80005299
2017-03-09,17.632128818481693,1579882452.1833007,19983777.62089817
2017-03-10,19.26359042821057,1726669640.058529,57671666.8607414
2017-03-11,21.396413225585537,1918511338.945731,49677899.622201264
2017-03-12,23.09884795827443,2071872695.7437224,49928738.77542156
2017-03-13,28.4460651994335,2552384188.382959,171741714.0352735
2017-03-14,28.53666459127697,2561402786.7498617,70373909.66103722
2017-03-15,34.19736420741617,3070584067.9730344,116848018.75719891
2017-03-16,39.86185607085268,3580085215.1633782,278693085.2513411
2017-03-17,44.06729598863206,3959577512.5822687,334923528.91465944
2017-03-18,32.26798526618718,2900403757.617106,151727339.68589038
2017-03-19,44.08879749579081,3964282980.887029,151889492.84525648
2017-03-20,41.86369288259116,3765537571.6064487,100344408.21407366
2017-03-21,42.47845801399063,3822148614.067184,59182511.95934919
2017-03-22,41.26261253718295,3714048002.047513,66568697.13198635
2017-03-23,43.274929979555615,3896515676.7178783,64280704.82629739
2017-03-24,50.894791438930966,4584161758.556292,186199954.72870487
2017-03-25,50.678966487888445,4566322356.351229,161617494.53457117
2017-03-26,50.049454214237386,4511139438.293101,85306682.68239024
2017-03-27,49.01711380303716,4419631301.180356,72421320.02870055
2017-03-28,50.25954286433053,4533191634.755726,63445924.96171639
2017-03-29,52.84379426461343,4767901725.458708,94092094.51316191
2017-03-30,52.3131752090198,4721666246.305043,51703487.39219208
2017-03-31,49.9646672803426,4511239008.808598,93559373.29078574
2017-04-01,50.42578760723248,4554446900.250353,57319943.03719086
2017-04-02,48.37846727683558,3938736158.3307056,86493796.3560341
2017-04-03,43.57923995912754,3779040762.106836,107658222.89744817
2017-04-04,41.79779504583054,4123329711.602928,94009509.9101336
2017-04-05,45.59029505235176,3888436554.318116,77394936.33704934
2017-04-06,42.978525212227865,3837553639.6237936,83596063.24955817
2017-04-07,42.40137665621101,4028965746.705344,45710556.43334019
2017-04-08,44.50128438718912,4001279550.297905,47830509.43158247
2017-04-09,44.1907610730727,3977660680.7776713,23843828.23541544
